2016-12-15 15:39:11,207 - __logger__ - DEBUG - The server's logger has been initialized!
2016-12-15 15:39:11,213 - __logger__ - INFO - Enters the main loop
2016-12-16 10:27:06,726 - __logger__ - INFO - [139945872189184, (37.26.148.189:52040)] User giggs has requested DirList
2016-12-16 10:27:08,349 - __logger__ - INFO - [139945855403776, (95.35.155.50:50575)] Authentication success with user gportal!
2016-12-16 10:27:12,477 - __logger__ - INFO - Got connection from: ('109.67.62.22', 17175)
2016-12-16 10:27:12,481 - __logger__ - INFO - [139945847011072, (109.67.62.22:17175)] Authentication success with user gportal!
2016-12-16 10:27:12,708 - __logger__ - INFO - [139945847011072, (109.67.62.22:17175)] User gportal has requested DirList
2016-12-16 10:27:19,141 - __logger__ - INFO - Got connection from: ('109.67.62.22', 5683)
2016-12-16 10:27:19,143 - __logger__ - DEBUG - [139945847011072, (109.67.62.22:5683)] Packet with invalid prefix or suffix has been received!
2016-12-16 10:27:24,371 - __logger__ - INFO - [139945855403776, (95.35.155.50:50575)] User gportal has requested DirList
2016-12-16 10:27:33,532 - __logger__ - INFO - Got connection from: ('109.67.62.22', 17176)
2016-12-16 10:27:33,534 - __logger__ - INFO - [139945847011072, (109.67.62.22:17176)] Authentication success with user gportal!
2016-12-16 10:27:33,845 - __logger__ - INFO - [139945847011072, (109.67.62.22:17176)] User gportal has requested DirList
2016-12-16 10:27:34,153 - __logger__ - INFO - [139945847011072, (109.67.62.22:17176)] User gportal get the file: very_important.txt
2016-12-16 10:27:45,998 - __logger__ - INFO - [139945855403776, (95.35.155.50:50575)] User gportal get the file: 341.pdf
2016-12-16 10:27:50,894 - __logger__ - INFO - Got connection from: ('109.65.33.244', 62533)
2016-12-16 10:27:54,504 - __logger__ - INFO - [139945847011072, (109.65.33.244:62533)] Authentication success with user giggs!
2016-12-16 10:28:19,069 - __logger__ - INFO - Got connection from: ('95.35.155.50', 50576)
2016-12-16 10:28:22,890 - __logger__ - INFO - [139945872189184, (95.35.155.50:50576)] Authentication success with user gportal!
2016-12-16 10:28:24,341 - __logger__ - INFO - Got connection from: ('109.67.62.22', 5684)
2016-12-16 10:28:24,342 - __logger__ - INFO - [139945855403776, (109.67.62.22:5684)] Authentication success with user giggs!
2016-12-16 10:28:24,636 - __logger__ - INFO - [139945872189184, (95.35.155.50:50576)] User gportal has requested DirList
2016-12-16 10:28:29,930 - __logger__ - DEBUG - [139946490648320, (109.67.62.22:3119)] Packet with invalid prefix or suffix has been received!
2016-12-16 10:28:30,637 - __logger__ - INFO - [139945872189184, (95.35.155.50:50576)] User gportal get the file: 341.pdf
2016-12-16 10:28:46,955 - __logger__ - INFO - Got connection from: ('109.67.62.22', 17177)
2016-12-16 10:28:46,957 - __logger__ - INFO - [139945855403776, (109.67.62.22:17177)] Authentication success with user gportal!
2016-12-16 10:28:47,467 - __logger__ - INFO - [139945855403776, (109.67.62.22:17177)] User gportal has requested DirList
2016-12-16 10:28:48,389 - __logger__ - INFO - [139945855403776, (109.67.62.22:17177)] User gportal get the file: very_important.txt
2016-12-16 10:28:55,748 - __logger__ - INFO - Got connection from: ('95.35.155.50', 50578)
2016-12-16 10:29:04,789 - __logger__ - INFO - Got connection from: ('109.67.62.22', 17178)
2016-12-16 10:29:04,790 - __logger__ - INFO - [139945872189184, (109.67.62.22:17178)] Authentication success with user gportal!
2016-12-16 10:29:05,038 - __logger__ - INFO - [139945872189184, (109.67.62.22:17178)] User gportal has requested DirList
2016-12-16 10:29:05,596 - __logger__ - INFO - [139945863796480, (95.35.155.50:50578)] Authentication success with user gportal!
2016-12-16 10:29:05,842 - __logger__ - INFO - [139945872189184, (109.67.62.22:17178)] User gportal get the file: very_important.txt
2016-12-16 10:29:07,340 - __logger__ - INFO - Got connection from: ('109.67.62.22', 5093)
2016-12-16 10:29:21,200 - __logger__ - INFO - Got connection from: ('109.67.62.22', 17181)
2016-12-16 10:29:21,202 - __logger__ - INFO - [139945855403776, (109.67.62.22:17181)] Authentication success with user gportal!
2016-12-16 10:29:21,582 - __logger__ - INFO - [139945855403776, (109.67.62.22:17181)] User gportal has requested DirList
